Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-12 08:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0453,46
2024-01-12 08:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0369,56
2024-01-12 08:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0403,52
2024-01-12 08:00:00,m5.large,ap-south-1,aps1-az3,3,1.5,0.101,0.0523,48
2024-01-12 08:00:00,m5.large,ap-south-1,aps1-az2,3,1.5,0.101,0.0513,49
2024-01-12 08:00:00,m5.large,ap-south-1,aps1-az1,3,1.5,0.101,0.0537,46
2024-01-12 08:00:00,r5.large,ap-south-1,aps1-az1,3,2.5,0.13,0.0733,43
2024-01-12 08:00:00,r5.large,ap-south-1,aps1-az3,3,2.5,0.13,0.0677,47
2024-01-12 08:00:00,r5.large,ap-south-1,aps1-az2,3,2.5,0.13,0.0679,47
2024-01-12 08:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0186,58
2024-01-12 08:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0178,60
2024-01-12 08:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0171,61
2024-01-12 08:00:00,r5.large,eu-north-1,eun1-az1,3,3.0,0.134,0.0422,68
2024-01-12 08:00:00,r5.large,eu-north-1,eun1-az2,3,3.0,0.134,0.0349,73
2024-01-12 08:00:00,r5.large,eu-north-1,eun1-az3,3,3.0,0.134,0.0432,67
2024-01-12 08:00:00,c5.large,eu-north-1,eun1-az3,3,2.5,0.091,0.0377,58
2024-01-12 08:00:00,c5.large,eu-north-1,eun1-az2,3,2.5,0.091,0.0412,54
2024-01-12 08:00:00,c5.large,eu-north-1,eun1-az1,3,2.5,0.091,0.0382,58
2024-01-12 08:00:00,m5.large,eu-north-1,eun1-az3,3,2.0,0.102,0.0395,61
2024-01-12 08:00:00,m5.large,eu-north-1,eun1-az2,3,2.0,0.102,0.038,62
2024-01-12 08:00:00,m5.large,eu-north-1,eun1-az1,3,2.0,0.102,0.0372,63
2024-01-12 08:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0209,51
2024-01-12 08:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.019,56
2024-01-12 08:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0211,51
2024-01-12 08:00:00,r5.large,eu-west-3,euw3-az2,3,3.0,0.148,0.051,65
2024-01-12 08:00:00,r5.large,eu-west-3,euw3-az3,3,3.0,0.148,0.0379,74
2024-01-12 08:00:00,r5.large,eu-west-3,euw3-az1,3,3.0,0.148,0.0537,63
2024-01-12 08:00:00,c5.large,eu-west-3,euw3-az2,3,3.0,0.101,0.0403,60
2024-01-12 08:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0382,62
2024-01-12 08:00:00,c5.large,eu-west-3,euw3-az1,3,3.0,0.101,0.0406,59
2024-01-12 08:00:00,t3.medium,eu-west-3,euw3-az3,3,3.0,0.0472,0.0171,63
2024-01-12 08:00:00,t3.medium,eu-west-3,euw3-az2,3,3.0,0.0472,0.0191,59
2024-01-12 08:00:00,t3.medium,eu-west-3,euw3-az1,3,3.0,0.0472,0.0162,65
2024-01-12 08:00:00,m5.large,eu-west-3,euw3-az3,3,2.0,0.112,0.0364,67
2024-01-12 08:00:00,m5.large,eu-west-3,euw3-az1,3,2.0,0.112,0.0386,65
2024-01-12 08:00:00,m5.large,eu-west-3,euw3-az2,3,2.0,0.112,0.0376,66
2024-01-12 08:00:00,c5.large,eu-west-2,euw2-az3,3,3.0,0.101,0.0496,50
2024-01-12 08:00:00,c5.large,eu-west-2,euw2-az1,3,3.0,0.101,0.0506,49
2024-01-12 08:00:00,c5.large,eu-west-2,euw2-az2,3,3.0,0.101,0.035,65
2024-01-12 08:00:00,r5.large,eu-west-2,euw2-az1,3,2.5,0.148,0.0517,65
2024-01-12 08:00:00,r5.large,eu-west-2,euw2-az2,3,2.5,0.148,0.0533,63
2024-01-12 08:00:00,r5.large,eu-west-2,euw2-az3,3,2.5,0.148,0.0739,50
2024-01-12 08:00:00,m5.large,eu-west-2,euw2-az3,3,2.0,0.111,0.0362,67
2024-01-12 08:00:00,m5.large,eu-west-2,euw2-az2,3,2.0,0.111,0.0427,61
2024-01-12 08:00:00,m5.large,eu-west-2,euw2-az1,3,2.0,0.111,0.0411,62
2024-01-12 08:00:00,t3.medium,eu-west-2,euw2-az3,3,3.0,0.0472,0.0187,60
2024-01-12 08:00:00,t3.medium,eu-west-2,euw2-az2,3,3.0,0.0472,0.0169,64
2024-01-12 08:00:00,t3.medium,eu-west-2,euw2-az1,3,3.0,0.0472,0.0182,61
2024-01-12 08:00:00,m5.large,eu-west-1,euw1-az3,3,3.0,0.107,0.0468,56
2024-01-12 08:00:00,m5.large,eu-west-1,euw1-az2,3,3.0,0.107,0.0469,56
2024-01-12 08:00:00,m5.large,eu-west-1,euw1-az1,3,3.0,0.107,0.0462,56
2024-01-12 08:00:00,c5.large,eu-west-1,euw1-az1,3,3.0,0.096,0.0407,57
2024-01-12 08:00:00,c5.large,eu-west-1,euw1-az2,3,3.0,0.096,0.0407,57
2024-01-12 08:00:00,c5.large,eu-west-1,euw1-az3,3,3.0,0.096,0.0402,58
2024-01-12 08:00:00,t3.medium,eu-west-1,euw1-az2,3,3.0,0.0456,0.0199,56
2024-01-12 08:00:00,t3.medium,eu-west-1,euw1-az1,3,3.0,0.0456,0.0192,57
2024-01-12 08:00:00,t3.medium,eu-west-1,euw1-az3,3,3.0,0.0456,0.0189,58
2024-01-12 08:00:00,r5.large,eu-west-1,euw1-az1,3,3.0,0.141,0.0619,56
2024-01-12 08:00:00,r5.large,eu-west-1,euw1-az3,3,3.0,0.141,0.0586,58
