Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-02 02:00:00,m5.large,ap-south-1,aps1-az3,3,1.0,0.101,0.0581,42
2024-01-02 02:00:00,m5.large,ap-south-1,aps1-az2,3,1.0,0.101,0.0517,48
2024-01-02 02:00:00,m5.large,ap-south-1,aps1-az1,3,1.0,0.101,0.0507,49
2024-01-02 02:00:00,r5.large,ap-south-1,aps1-az1,3,2.0,0.13,0.0698,46
2024-01-02 02:00:00,r5.large,ap-south-1,aps1-az3,3,2.0,0.13,0.0679,47
2024-01-02 02:00:00,r5.large,ap-south-1,aps1-az2,3,2.0,0.13,0.064,50
2024-01-02 02:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0161,64
2024-01-02 02:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.017,62
2024-01-02 02:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0186,58
2024-01-02 02:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0427,49
2024-01-02 02:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0348,59
2024-01-02 02:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0381,55
2024-01-02 02:00:00,m5.large,eu-north-1,eun1-az1,3,2.5,0.102,0.0387,62
2024-01-02 02:00:00,m5.large,eu-north-1,eun1-az3,3,2.5,0.102,0.0404,60
2024-01-02 02:00:00,m5.large,eu-north-1,eun1-az2,3,2.5,0.102,0.0398,60
2024-01-02 02:00:00,c5.large,eu-north-1,eun1-az2,3,3.0,0.091,0.0388,57
2024-01-02 02:00:00,c5.large,eu-north-1,eun1-az3,3,3.0,0.091,0.04,56
2024-01-02 02:00:00,c5.large,eu-north-1,eun1-az1,3,3.0,0.091,0.0406,55
2024-01-02 02:00:00,r5.large,eu-north-1,eun1-az1,3,3.0,0.134,0.0436,67
2024-01-02 02:00:00,r5.large,eu-north-1,eun1-az2,3,3.0,0.134,0.0333,75
2024-01-02 02:00:00,r5.large,eu-north-1,eun1-az3,3,3.0,0.134,0.0422,68
2024-01-02 02:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0202,53
2024-01-02 02:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.0201,53
2024-01-02 02:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0213,50
2024-01-02 02:00:00,r5.large,eu-west-3,euw3-az3,3,3.0,0.148,0.0341,76
2024-01-02 02:00:00,r5.large,eu-west-3,euw3-az1,3,3.0,0.148,0.0545,63
2024-01-02 02:00:00,r5.large,eu-west-3,euw3-az2,3,3.0,0.148,0.0469,68
2024-01-02 02:00:00,m5.large,eu-west-3,euw3-az1,3,2.5,0.112,0.0394,64
2024-01-02 02:00:00,m5.large,eu-west-3,euw3-az2,3,2.5,0.112,0.0362,67
2024-01-02 02:00:00,m5.large,eu-west-3,euw3-az3,3,2.5,0.112,0.0341,69
2024-01-02 02:00:00,c5.large,eu-west-3,euw3-az2,3,3.0,0.101,0.0388,61
2024-01-02 02:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0395,60
2024-01-02 02:00:00,c5.large,eu-west-3,euw3-az1,3,3.0,0.101,0.0412,59
2024-01-02 02:00:00,t3.medium,eu-west-3,euw3-az2,3,3.0,0.0472,0.0193,59
2024-01-02 02:00:00,t3.medium,eu-west-3,euw3-az3,3,3.0,0.0472,0.0171,63
2024-01-02 02:00:00,t3.medium,eu-west-3,euw3-az1,3,3.0,0.0472,0.016,66
2024-01-02 02:00:00,r5.large,eu-west-2,euw2-az3,3,1.5,0.148,0.0591,60
2024-01-02 02:00:00,r5.large,eu-west-2,euw2-az2,3,1.5,0.148,0.0504,65
2024-01-02 02:00:00,r5.large,eu-west-2,euw2-az1,3,1.5,0.148,0.0505,65
2024-01-02 02:00:00,c5.large,eu-west-2,euw2-az3,3,3.0,0.101,0.049,51
2024-01-02 02:00:00,c5.large,eu-west-2,euw2-az2,3,3.0,0.101,0.0337,66
2024-01-02 02:00:00,c5.large,eu-west-2,euw2-az1,3,3.0,0.101,0.0482,52
2024-01-02 02:00:00,m5.large,eu-west-2,euw2-az3,3,1.5,0.111,0.0375,66
2024-01-02 02:00:00,m5.large,eu-west-2,euw2-az2,3,1.5,0.111,0.0451,59
2024-01-02 02:00:00,m5.large,eu-west-2,euw2-az1,3,1.5,0.111,0.0431,61
2024-01-02 02:00:00,t3.medium,eu-west-2,euw2-az1,3,3.0,0.0472,0.0187,60
2024-01-02 02:00:00,t3.medium,eu-west-2,euw2-az2,3,3.0,0.0472,0.0173,63
2024-01-02 02:00:00,t3.medium,eu-west-2,euw2-az3,3,3.0,0.0472,0.0184,61
2024-01-02 02:00:00,c5.large,eu-west-1,euw1-az1,3,3.0,0.096,0.0382,60
2024-01-02 02:00:00,c5.large,eu-west-1,euw1-az2,3,3.0,0.096,0.046,52
2024-01-02 02:00:00,c5.large,eu-west-1,euw1-az3,3,3.0,0.096,0.0378,60
2024-01-02 02:00:00,m5.large,eu-west-1,euw1-az2,3,3.0,0.107,0.0471,55
2024-01-02 02:00:00,m5.large,eu-west-1,euw1-az3,3,3.0,0.107,0.0502,53
2024-01-02 02:00:00,m5.large,eu-west-1,euw1-az1,3,3.0,0.107,0.0527,50
2024-01-02 02:00:00,t3.medium,eu-west-1,euw1-az2,3,3.0,0.0456,0.0187,58
2024-01-02 02:00:00,t3.medium,eu-west-1,euw1-az3,3,3.0,0.0456,0.0183,59
2024-01-02 02:00:00,t3.medium,eu-west-1,euw1-az1,3,3.0,0.0456,0.0201,55
2024-01-02 02:00:00,r5.large,eu-west-1,euw1-az1,3,3.0,0.141,0.0645,54
2024-01-02 02:00:00,r5.large,eu-west-1,euw1-az2,3,3.0,0.141,0.0568,59
2024-01-02 02:00:00,r5.large,eu-west-1,euw1-az3,3,3.0,0.141,0.0573,59
2024-01-02 02:00:00,r5.large,ap-northeast-3,apne3-az2,3,3.0,0.152,0.0497,67
2024-01-02 02:00:00,r5.large,ap-northeast-3,apne3-az1,3,3.0,0.152,0.0497,67
2024-01-02 02:00:00,r5.large,ap-northeast-3,apne3-az3,3,3.0,0.152,0.0381,74
2024-01-02 02:00:00,t3.medium,ap-northeast-3,apne3-az3,3,3.0,0.0544,0.0103,81
2024-01-02 02:00:00,t3.medium,ap-northeast-3,apne3-az1,3,3.0,0.0544,0.0179,67
2024-01-02 02:00:00,t3.medium,ap-northeast-3,apne3-az2,3,3.0,0.0544,0.0112,79
2024-01-02 02:00:00,m5.large,ap-northeast-3,apne3-az1,3,3.0,0.124,0.0368,70
2024-01-02 02:00:00,m5.large,ap-northeast-3,apne3-az2,3,3.0,0.124,0.0386,68
2024-01-02 02:00:00,m5.large,ap-northeast-3,apne3-az3,3,3.0,0.124,0.0327,73
2024-01-02 02:00:00,c5.large,ap-northeast-3,apne3-az3,3,3.0,0.107,0.0386,63
2024-01-02 02:00:00,c5.large,ap-northeast-3,apne3-az2,3,3.0,0.107,0.0427,60
2024-01-02 02:00:00,c5.large,ap-northeast-3,apne3-az1,3,3.0,0.107,0.0401,62
2024-01-02 02:00:00,c5.large,ap-northeast-2,apne2-az4,3,3.0,0.096,0.034,64
2024-01-02 02:00:00,c5.large,ap-northeast-2,apne2-az1,3,3.0,0.096,0.0395,58
2024-01-02 02:00:00,c5.large,ap-northeast-2,apne2-az2,3,3.0,0.096,0.0458,52
2024-01-02 02:00:00,c5.large,ap-northeast-2,apne2-az3,3,3.0,0.096,0.0381,60
