Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-23 02:00:00,r5.large,ap-south-1,aps1-az3,3,2.5,0.13,0.0709,45
2024-01-23 02:00:00,r5.large,ap-south-1,aps1-az2,3,2.5,0.13,0.0717,44
2024-01-23 02:00:00,r5.large,ap-south-1,aps1-az1,3,2.5,0.13,0.0758,41
2024-01-23 02:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0382,55
2024-01-23 02:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0367,56
2024-01-23 02:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0481,43
2024-01-23 02:00:00,m5.large,ap-south-1,aps1-az2,3,2.0,0.101,0.0525,48
2024-01-23 02:00:00,m5.large,ap-south-1,aps1-az3,3,2.0,0.101,0.0545,46
2024-01-23 02:00:00,m5.large,ap-south-1,aps1-az1,3,2.0,0.101,0.0564,44
2024-01-23 02:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0175,60
2024-01-23 02:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0175,60
2024-01-23 02:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0177,60
2024-01-23 02:00:00,c5.large,eu-north-1,eun1-az2,3,2.5,0.091,0.0422,53
2024-01-23 02:00:00,c5.large,eu-north-1,eun1-az1,3,2.5,0.091,0.0406,55
2024-01-23 02:00:00,c5.large,eu-north-1,eun1-az3,3,2.5,0.091,0.0381,58
2024-01-23 02:00:00,r5.large,eu-north-1,eun1-az1,3,2.5,0.134,0.0454,66
2024-01-23 02:00:00,r5.large,eu-north-1,eun1-az2,3,2.5,0.134,0.0387,71
2024-01-23 02:00:00,r5.large,eu-north-1,eun1-az3,3,2.5,0.134,0.0447,66
2024-01-23 02:00:00,m5.large,eu-north-1,eun1-az3,3,2.0,0.102,0.0372,63
2024-01-23 02:00:00,m5.large,eu-north-1,eun1-az1,3,2.0,0.102,0.0362,64
2024-01-23 02:00:00,m5.large,eu-north-1,eun1-az2,3,2.0,0.102,0.0357,65
2024-01-23 02:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.0182,57
2024-01-23 02:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0215,50
2024-01-23 02:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0214,50
2024-01-23 02:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0404,60
2024-01-23 02:00:00,c5.large,eu-west-3,euw3-az2,3,3.0,0.101,0.0447,55
2024-01-23 02:00:00,c5.large,eu-west-3,euw3-az1,3,3.0,0.101,0.042,58
2024-01-23 02:00:00,m5.large,eu-west-3,euw3-az2,3,2.0,0.112,0.0372,66
2024-01-23 02:00:00,m5.large,eu-west-3,euw3-az1,3,2.0,0.112,0.0384,65
2024-01-23 02:00:00,m5.large,eu-west-3,euw3-az3,3,2.0,0.112,0.035,68
2024-01-23 02:00:00,r5.large,eu-west-3,euw3-az1,3,2.5,0.148,0.0514,65
2024-01-23 02:00:00,r5.large,eu-west-3,euw3-az2,3,2.5,0.148,0.0537,63
2024-01-23 02:00:00,r5.large,eu-west-3,euw3-az3,3,2.5,0.148,0.0405,72
2024-01-23 02:00:00,t3.medium,eu-west-3,euw3-az1,3,3.0,0.0472,0.0167,64
2024-01-23 02:00:00,t3.medium,eu-west-3,euw3-az3,3,3.0,0.0472,0.0175,62
2024-01-23 02:00:00,t3.medium,eu-west-3,euw3-az2,3,3.0,0.0472,0.019,59
2024-01-23 02:00:00,m5.large,eu-west-2,euw2-az2,3,1.5,0.111,0.0445,59
2024-01-23 02:00:00,m5.large,eu-west-2,euw2-az1,3,1.5,0.111,0.0374,66
