Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-08 17:00:00,r5.large,ap-south-1,aps1-az2,3,2.5,0.13,0.0666,48
2024-01-08 17:00:00,r5.large,ap-south-1,aps1-az3,3,2.5,0.13,0.0656,49
2024-01-08 17:00:00,r5.large,ap-south-1,aps1-az1,3,2.5,0.13,0.0718,44
2024-01-08 17:00:00,m5.large,ap-south-1,aps1-az1,3,1.5,0.101,0.0525,48
2024-01-08 17:00:00,m5.large,ap-south-1,aps1-az3,3,1.5,0.101,0.0523,48
2024-01-08 17:00:00,m5.large,ap-south-1,aps1-az2,3,1.5,0.101,0.0499,50
2024-01-08 17:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0187,58
2024-01-08 17:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0167,62
2024-01-08 17:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0174,61
2024-01-08 17:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.036,57
2024-01-08 17:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0445,47
2024-01-08 17:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0395,53
2024-01-08 17:00:00,c5.large,eu-north-1,eun1-az2,3,3.0,0.091,0.0401,55
2024-01-08 17:00:00,c5.large,eu-north-1,eun1-az1,3,3.0,0.091,0.0386,57
2024-01-08 17:00:00,c5.large,eu-north-1,eun1-az3,3,3.0,0.091,0.0387,57
2024-01-08 17:00:00,m5.large,eu-north-1,eun1-az2,3,2.5,0.102,0.0386,62
2024-01-08 17:00:00,m5.large,eu-north-1,eun1-az1,3,2.5,0.102,0.0375,63
2024-01-08 17:00:00,m5.large,eu-north-1,eun1-az3,3,2.5,0.102,0.0399,60
2024-01-08 17:00:00,r5.large,eu-north-1,eun1-az1,3,3.0,0.134,0.0425,68
2024-01-08 17:00:00,r5.large,eu-north-1,eun1-az2,3,3.0,0.134,0.0344,74
2024-01-08 17:00:00,r5.large,eu-north-1,eun1-az3,3,3.0,0.134,0.0424,68
2024-01-08 17:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0203,53
2024-01-08 17:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.0192,55
2024-01-08 17:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0207,52
2024-01-08 17:00:00,r5.large,eu-west-3,euw3-az3,3,3.0,0.148,0.0367,75
2024-01-08 17:00:00,r5.large,eu-west-3,euw3-az1,3,3.0,0.148,0.0539,63
2024-01-08 17:00:00,r5.large,eu-west-3,euw3-az2,3,3.0,0.148,0.0499,66
2024-01-08 17:00:00,m5.large,eu-west-3,euw3-az3,3,2.5,0.112,0.0363,67
2024-01-08 17:00:00,m5.large,eu-west-3,euw3-az1,3,2.5,0.112,0.0387,65
2024-01-08 17:00:00,m5.large,eu-west-3,euw3-az2,3,2.5,0.112,0.0373,66
2024-01-08 17:00:00,c5.large,eu-west-3,euw3-az2,3,3.0,0.101,0.0394,60
2024-01-08 17:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0386,61
2024-01-08 17:00:00,c5.large,eu-west-3,euw3-az1,3,3.0,0.101,0.0408,59
2024-01-08 17:00:00,t3.medium,eu-west-3,euw3-az2,3,3.0,0.0472,0.0191,59
2024-01-08 17:00:00,t3.medium,eu-west-3,euw3-az1,3,3.0,0.0472,0.0161,65
2024-01-08 17:00:00,t3.medium,eu-west-3,euw3-az3,3,3.0,0.0472,0.0172,63
2024-01-08 17:00:00,t3.medium,eu-west-2,euw2-az1,3,3.0,0.0472,0.0184,61
2024-01-08 17:00:00,t3.medium,eu-west-2,euw2-az3,3,3.0,0.0472,0.0186,60
2024-01-08 17:00:00,t3.medium,eu-west-2,euw2-az2,3,3.0,0.0472,0.0169,64
2024-01-08 17:00:00,c5.large,eu-west-2,euw2-az1,3,3.0,0.101,0.0497,50
2024-01-08 17:00:00,c5.large,eu-west-2,euw2-az2,3,3.0,0.101,0.0349,65
2024-01-08 17:00:00,c5.large,eu-west-2,euw2-az3,3,3.0,0.101,0.0496,50
2024-01-08 17:00:00,m5.large,eu-west-2,euw2-az1,3,2.0,0.111,0.0418,62
2024-01-08 17:00:00,m5.large,eu-west-2,euw2-az2,3,2.0,0.111,0.0436,60
2024-01-08 17:00:00,m5.large,eu-west-2,euw2-az3,3,2.0,0.111,0.0365,67
2024-01-08 17:00:00,r5.large,eu-west-2,euw2-az2,3,2.5,0.148,0.0524,64
2024-01-08 17:00:00,r5.large,eu-west-2,euw2-az1,3,2.5,0.148,0.0512,65
2024-01-08 17:00:00,r5.large,eu-west-2,euw2-az3,3,2.5,0.148,0.0641,56
2024-01-08 17:00:00,m5.large,eu-west-1,euw1-az3,3,3.0,0.107,0.0482,54
2024-01-08 17:00:00,m5.large,eu-west-1,euw1-az1,3,3.0,0.107,0.0483,54
2024-01-08 17:00:00,m5.large,eu-west-1,euw1-az2,3,3.0,0.107,0.0488,54
2024-01-08 17:00:00,c5.large,eu-west-1,euw1-az1,3,3.0,0.096,0.0397,58
2024-01-08 17:00:00,c5.large,eu-west-1,euw1-az2,3,3.0,0.096,0.0433,54
2024-01-08 17:00:00,c5.large,eu-west-1,euw1-az3,3,3.0,0.096,0.0394,58
2024-01-08 17:00:00,r5.large,eu-west-1,euw1-az3,3,3.0,0.141,0.0594,57
2024-01-08 17:00:00,r5.large,eu-west-1,euw1-az1,3,3.0,0.141,0.0655,53
2024-01-08 17:00:00,r5.large,eu-west-1,euw1-az2,3,3.0,0.141,0.0589,58
2024-01-08 17:00:00,t3.medium,eu-west-1,euw1-az1,3,3.0,0.0456,0.0207,54
2024-01-08 17:00:00,t3.medium,eu-west-1,euw1-az3,3,3.0,0.0456,0.0189,58
2024-01-08 17:00:00,t3.medium,eu-west-1,euw1-az2,3,3.0,0.0456,0.0194,57
2024-01-08 17:00:00,m5.large,ap-northeast-3,apne3-az1,3,2.0,0.124,0.0385,68
2024-01-08 17:00:00,m5.large,ap-northeast-3,apne3-az3,3,2.0,0.124,0.0348,71
2024-01-08 17:00:00,m5.large,ap-northeast-3,apne3-az2,3,2.0,0.124,0.0408,67
2024-01-08 17:00:00,t3.medium,ap-northeast-3,apne3-az3,3,3.0,0.0544,0.0109,79
2024-01-08 17:00:00,t3.medium,ap-northeast-3,apne3-az2,3,3.0,0.0544,0.0115,78
2024-01-08 17:00:00,t3.medium,ap-northeast-3,apne3-az1,3,3.0,0.0544,0.0186,65
2024-01-08 17:00:00,c5.large,ap-northeast-3,apne3-az2,3,3.0,0.107,0.0452,57
