Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-20 06:00:00,r5.large,ap-south-1,aps1-az2,3,2.5,0.13,0.0708,45
2024-01-20 06:00:00,r5.large,ap-south-1,aps1-az1,3,2.5,0.13,0.0768,40
2024-01-20 06:00:00,r5.large,ap-south-1,aps1-az3,3,2.5,0.13,0.0697,46
2024-01-20 06:00:00,m5.large,ap-south-1,aps1-az3,3,2.0,0.101,0.054,46
2024-01-20 06:00:00,m5.large,ap-south-1,aps1-az2,3,2.0,0.101,0.0534,47
2024-01-20 06:00:00,m5.large,ap-south-1,aps1-az1,3,2.0,0.101,0.0561,44
2024-01-20 06:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0177,60
2024-01-20 06:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0179,60
2024-01-20 06:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0179,60
2024-01-20 06:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0388,54
2024-01-20 06:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0464,45
2024-01-20 06:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0381,55
2024-01-20 06:00:00,m5.large,eu-north-1,eun1-az1,3,2.0,0.102,0.0364,64
2024-01-20 06:00:00,m5.large,eu-north-1,eun1-az3,3,2.0,0.102,0.0376,63
2024-01-20 06:00:00,m5.large,eu-north-1,eun1-az2,3,2.0,0.102,0.0357,65
2024-01-20 06:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.0186,56
2024-01-20 06:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0212,50
2024-01-20 06:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0213,50
2024-01-20 06:00:00,c5.large,eu-north-1,eun1-az2,3,2.5,0.091,0.0414,54
2024-01-20 06:00:00,c5.large,eu-north-1,eun1-az3,3,2.5,0.091,0.0373,59
2024-01-20 06:00:00,c5.large,eu-north-1,eun1-az1,3,2.5,0.091,0.0399,56
2024-01-20 06:00:00,r5.large,eu-north-1,eun1-az2,3,2.5,0.134,0.0376,71
2024-01-20 06:00:00,r5.large,eu-north-1,eun1-az3,3,2.5,0.134,0.0439,67
2024-01-20 06:00:00,r5.large,eu-north-1,eun1-az1,3,2.5,0.134,0.0441,67
2024-01-20 06:00:00,m5.large,eu-west-3,euw3-az2,3,2.0,0.112,0.0365,67
2024-01-20 06:00:00,m5.large,eu-west-3,euw3-az3,3,2.0,0.112,0.0346,69
2024-01-20 06:00:00,m5.large,eu-west-3,euw3-az1,3,2.0,0.112,0.0377,66
2024-01-20 06:00:00,r5.large,eu-west-3,euw3-az1,3,2.5,0.148,0.0524,64
2024-01-20 06:00:00,r5.large,eu-west-3,euw3-az3,3,2.5,0.148,0.04,72
2024-01-20 06:00:00,r5.large,eu-west-3,euw3-az2,3,2.5,0.148,0.0529,64
2024-01-20 06:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0396,60
2024-01-20 06:00:00,c5.large,eu-west-3,euw3-az2,3,3.0,0.101,0.043,57
2024-01-20 06:00:00,c5.large,eu-west-3,euw3-az1,3,3.0,0.101,0.041,59
2024-01-20 06:00:00,t3.medium,eu-west-3,euw3-az1,3,3.0,0.0472,0.0166,64
2024-01-20 06:00:00,t3.medium,eu-west-3,euw3-az2,3,3.0,0.0472,0.0192,59
2024-01-20 06:00:00,t3.medium,eu-west-3,euw3-az3,3,3.0,0.0472,0.0172,63
2024-01-20 06:00:00,r5.large,eu-west-2,euw2-az2,3,2.0,0.148,0.0562,62
2024-01-20 06:00:00,r5.large,eu-west-2,euw2-az1,3,2.0,0.148,0.0536,63
2024-01-20 06:00:00,r5.large,eu-west-2,euw2-az3,3,2.0,0.148,0.0768,48
2024-01-20 06:00:00,m5.large,eu-west-2,euw2-az1,3,1.5,0.111,0.0389,64
2024-01-20 06:00:00,m5.large,eu-west-2,euw2-az2,3,1.5,0.111,0.0439,60
2024-01-20 06:00:00,m5.large,eu-west-2,euw2-az3,3,1.5,0.111,0.0379,65
2024-01-20 06:00:00,t3.medium,eu-west-2,euw2-az2,3,3.0,0.0472,0.0178,62
2024-01-20 06:00:00,t3.medium,eu-west-2,euw2-az1,3,3.0,0.0472,0.0177,62
2024-01-20 06:00:00,t3.medium,eu-west-2,euw2-az3,3,3.0,0.0472,0.0194,58
2024-01-20 06:00:00,c5.large,eu-west-2,euw2-az3,3,3.0,0.101,0.0486,51
2024-01-20 06:00:00,c5.large,eu-west-2,euw2-az2,3,3.0,0.101,0.0384,61
2024-01-20 06:00:00,c5.large,eu-west-2,euw2-az1,3,3.0,0.101,0.0502,50
2024-01-20 06:00:00,r5.large,eu-west-1,euw1-az1,3,3.0,0.141,0.0631,55
2024-01-20 06:00:00,r5.large,eu-west-1,euw1-az2,3,3.0,0.141,0.0629,55
2024-01-20 06:00:00,r5.large,eu-west-1,euw1-az3,3,3.0,0.141,0.0554,60
2024-01-20 06:00:00,m5.large,eu-west-1,euw1-az1,3,3.0,0.107,0.0461,56
2024-01-20 06:00:00,m5.large,eu-west-1,euw1-az2,3,3.0,0.107,0.0456,57
2024-01-20 06:00:00,m5.large,eu-west-1,euw1-az3,3,3.0,0.107,0.0472,55
2024-01-20 06:00:00,c5.large,eu-west-1,euw1-az3,3,3.0,0.096,0.0382,60
