Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-20 00:00:00,r5.large,ap-south-1,aps1-az1,3,2.5,0.13,0.0768,40
2024-01-20 00:00:00,r5.large,ap-south-1,aps1-az2,3,2.5,0.13,0.0707,45
2024-01-20 00:00:00,r5.large,ap-south-1,aps1-az3,3,2.5,0.13,0.0697,46
2024-01-20 00:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0381,55
2024-01-20 00:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0387,54
2024-01-20 00:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0462,45
2024-01-20 00:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0179,60
2024-01-20 00:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0179,60
2024-01-20 00:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0176,60
2024-01-20 00:00:00,m5.large,ap-south-1,aps1-az2,3,2.0,0.101,0.0533,47
2024-01-20 00:00:00,m5.large,ap-south-1,aps1-az3,3,2.0,0.101,0.0539,46
2024-01-20 00:00:00,m5.large,ap-south-1,aps1-az1,3,2.0,0.101,0.056,44
2024-01-20 00:00:00,c5.large,eu-north-1,eun1-az3,3,2.5,0.091,0.0372,59
2024-01-20 00:00:00,c5.large,eu-north-1,eun1-az2,3,2.5,0.091,0.0413,54
2024-01-20 00:00:00,c5.large,eu-north-1,eun1-az1,3,2.5,0.091,0.0398,56
2024-01-20 00:00:00,m5.large,eu-north-1,eun1-az1,3,2.0,0.102,0.0363,64
2024-01-20 00:00:00,m5.large,eu-north-1,eun1-az3,3,2.0,0.102,0.0377,63
2024-01-20 00:00:00,m5.large,eu-north-1,eun1-az2,3,2.0,0.102,0.0357,65
2024-01-20 00:00:00,r5.large,eu-north-1,eun1-az2,3,2.5,0.134,0.0375,72
2024-01-20 00:00:00,r5.large,eu-north-1,eun1-az1,3,2.5,0.134,0.0441,67
2024-01-20 00:00:00,r5.large,eu-north-1,eun1-az3,3,2.5,0.134,0.0438,67
