Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-03 18:00:00,r5.large,ap-south-1,aps1-az2,3,2.0,0.13,0.0649,50
2024-01-03 18:00:00,r5.large,ap-south-1,aps1-az1,3,2.0,0.13,0.0703,45
2024-01-03 18:00:00,r5.large,ap-south-1,aps1-az3,3,2.0,0.13,0.0678,47
2024-01-03 18:00:00,m5.large,ap-south-1,aps1-az2,3,1.0,0.101,0.0522,48
2024-01-03 18:00:00,m5.large,ap-south-1,aps1-az3,3,1.0,0.101,0.0547,45
2024-01-03 18:00:00,m5.large,ap-south-1,aps1-az1,3,1.0,0.101,0.0511,49
2024-01-03 18:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0354,58
2024-01-03 18:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0431,49
2024-01-03 18:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0386,54
2024-01-03 18:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.0188,58
2024-01-03 18:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0162,63
2024-01-03 18:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0171,61
2024-01-03 18:00:00,m5.large,eu-north-1,eun1-az2,3,2.5,0.102,0.0395,61
2024-01-03 18:00:00,m5.large,eu-north-1,eun1-az3,3,2.5,0.102,0.0403,60
2024-01-03 18:00:00,m5.large,eu-north-1,eun1-az1,3,2.5,0.102,0.0383,62
2024-01-03 18:00:00,r5.large,eu-north-1,eun1-az1,3,3.0,0.134,0.0434,67
2024-01-03 18:00:00,r5.large,eu-north-1,eun1-az3,3,3.0,0.134,0.0418,68
2024-01-03 18:00:00,r5.large,eu-north-1,eun1-az2,3,3.0,0.134,0.0335,75
2024-01-03 18:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0212,50
2024-01-03 18:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.02,53
2024-01-03 18:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0201,53
2024-01-03 18:00:00,c5.large,eu-north-1,eun1-az3,3,3.0,0.091,0.0396,56
2024-01-03 18:00:00,c5.large,eu-north-1,eun1-az1,3,3.0,0.091,0.0397,56
2024-01-03 18:00:00,c5.large,eu-north-1,eun1-az2,3,3.0,0.091,0.0384,57
2024-01-03 18:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0388,61
